author,bookformat,desc,genre,img,isbn,pages,rating,reviews,title,totalratings
Veronica Roth,Paperback,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtueâ€”Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really isâ€”she can't have both. So she makes a choice that surprises everyone, including herself.,During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really areâ€”and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.","Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic,Action",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY475_.jpg,62024035,487,4.18,110042,Divergent,3099689
"George Orwell,Russell Baker,C.M. Woodhouse",Mass Market Paperback,"Librarian's note: There is an Alternate Cover Edition for this edition of this book ,here,.,A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned â€“a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ,When ,Animal Farm, was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwellâ€™s masterpiece have a meaning and message still ferociously fresh.","Classics,Fiction,Science Fiction,Dystopia,Fantasy,Literature,Politics,Academic,School,Science Fiction,Novels,Academic,Read For School",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg,451526341,141,3.96,61970,Animal Farm,2938072
"J.K. Rowling,Mary GrandPrÃ©",Hardcover,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as heâ€™s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.,And strike it does. For in Harryâ€™s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girlsâ€™ bathroom. But then the real trouble begins â€“ someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspectsâ€¦ Harry Potter himself!","Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Audiobook,Classics,Science Fiction Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY475_.jpg,439064864,341,4.43,57146,Harry Potter and the Chamber of Secrets,2934616
George R.R. Martin,Mass Market Paperback,"Here is the first volume in George R. R. Martinâ€™s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martinâ€™s stunning series is destined to stand as one of the great achievements of imaginative fiction.,A GAME OF THRONES,Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdomâ€™s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens.,Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.,source: georgerrmartin.com","Fantasy,Fiction,Fantasy,Epic Fantasy,Adult,Science Fiction Fantasy,Fantasy,High Fantasy,Adventure,Audiobook,Fantasy,Dragons,Epic",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496.jpg,553588486,835,4.44,55705,A Game of Thrones,2097707
Alice Sebold,Mass Market Paperback,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973."",So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.","Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Crime,Adult,Adult Fiction,Drama,Thriller",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938.jpg,316166685,372,3.82,41393,The Lovely Bones,2095009
E.L. James,Paperback,"When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Anaâ€™s quiet beauty, wit, and independent spirit, Grey admits he wants her, tooâ€”but on his own terms.,Â ,Shocked yet thrilled by Greyâ€™s singular erotic tastes, Ana hesitates. For all the trappings of successâ€”his multinational businesses, his vast wealth, his loving familyâ€”Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Greyâ€™s secrets and explores her own dark desires.,Erotic, amusing, and deeply moving, the Fifty Shades Trilogy is a tale that will obsess you, possess you, and stay with you forever.,This book is intended for mature audiences.","Romance,Fiction,Adult Fiction,Erotica,Adult,Erotica,BDSM,Contemporary,Womens Fiction,Chick Lit,Romance,Contemporary Romance,Romance,Erotic Romance,Adult Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853.jpg,1612130291,356,3.66,79264,Fifty Shades of Grey,2070036
"Charlotte BrontÃ«,Michael Mason,SylvÃ¨re Monod,Barnett Freedman",Paperback,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward AdÃ¨le. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard., But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?","Classics,Fiction,Romance,Historical,Historical Fiction,Gothic,Literature,Historical,Literature,19th Century,Academic,School,Classics,Classic Literature",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY475_.jpg,142437204,532,4.13,45625,Jane Eyre,1711230
Christopher Paolini,Paperback,"An alternate cover edition for ISBN 9780375826696 can be found ,here.,One boy...,One dragon...,A world of adventure., When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself., Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds., Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.","Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy,Childrens",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436.jpg,375826696,503,3.91,23007,Eragon,1506769
Stephenie Meyer,Hardcover,"""Don't be afraid,"" I murmured. ""We belong together."",I was abruptly overwhelmed by the truth of my own words. ,This moment was so perfect, so right, there was no way to doubt it.,His arms wrapped around me,,holding me against him....,It felt like every nerve ending in my body was a live wire.,""Forever,"" he agreed.,WHEN YOU LOVED THE ONE WHO WAS KILLING YOU, IT LEFT YOU NO OPTIONS. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved?,TO BE IRREVOCABLY IN LOVE WITH A VAMPIRE is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.,NOW THAT BELLA HAS MADE HER DECISION, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life - first discovered in ,Twilight,, then scattered and torn in ,New Moon, and ,Eclipse, - seem ready to heal and knit together, could they be destroyed... forever?,THE ASTONISHING, BREATHLESSLY anticipated conclusion to the Twilight Saga, ,Breaking Dawn, illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.","Young Adult,Fantasy,Romance,Paranormal,Vampires,Fiction,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Shapeshifters,Werewolves,Fantasy,Urban Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438l/1162543._SY475_.jpg,031606792X,756,3.71,48003,Breaking Dawn,1400187
Philip Pullman,Hardcover,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.,Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.","Fantasy,Young Adult,Fiction,Childrens,Adventure,Science Fiction,Childrens,Middle Grade,Science Fiction Fantasy,Science Fiction,Steampunk,Classics",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203l/119322._SX318_.jpg,679879242,399,3.99,23705,The Golden Compass,1344484
